Experiment;Model;Optimizer;Epoch;Train PPL;Valid PPL;Best val;TPE;Wall-clock
Exp 3;Transformer;SGD;0;67407.8620768479;6784.41456321261;6784.41456321261;165.253872394561;165
Exp 3;Transformer;SGD;1;2664.19317258305;1152.81443572835;1152.81443572835;165.124653339386;330
Exp 3;Transformer;SGD;2;1086.74442125311;755.7965843342;755.7965843342;164.769347429275;495
Exp 3;Transformer;SGD;3;760.264006983064;526.908935506731;526.908935506731;165.151651859283;660
Exp 3;Transformer;SGD;4;586.114134496677;496.100898766259;496.100898766259;165.1185028553;825
Exp 3;Transformer;SGD;5;457.703156302134;472.370342715596;472.370342715596;165.311301708221;990
Exp 3;Transformer;SGD;6;379.901252190912;337.353230773841;337.353230773841;165.235218286514;1155
Exp 3;Transformer;SGD;7;323.459137265503;307.676463763945;307.676463763945;165.053390264511;1320
Exp 3;Transformer;SGD;8;281.674971269152;279.291813997141;279.291813997141;164.969559431076;1485
Exp 3;Transformer;SGD;9;248.09693699859;239.877371633383;239.877371633383;164.969262361526;1650
Exp 3;Transformer;SGD;10;222.995815673674;259.064727674829;239.877371633383;164.231543302536;1814
Exp 3;Transformer;SGD;11;198.305652115343;224.44649964946;224.44649964946;164.64955997467;1979
Exp 3;Transformer;SGD;12;185.861741497764;224.213835497615;224.213835497615;164.698819160461;2144
Exp 3;Transformer;SGD;13;165.508971589112;221.198196606262;221.198196606262;164.582280874252;2309
Exp 3;Transformer;SGD;14;152.519676704576;203.904901413246;203.904901413246;164.749511957168;2474
Exp 3;Transformer;SGD;15;142.071657005863;202.161983760545;202.161983760545;164.42438673973;2638
Exp 3;Transformer;SGD;16;131.075997770356;191.555340806246;191.555340806246;164.770699262619;2803
Exp 3;Transformer;SGD;17;121.834016366565;178.010271598069;178.010271598069;164.50876545906;2968
Exp 3;Transformer;SGD;18;113.62449765461;185.117056538059;178.010271598069;163.792487859725;3132
Exp 3;Transformer;SGD;19;106.909227632084;198.57440412346;178.010271598069;163.724224805831;3296
Exp 3;Transformer;SGD;20;99.3948731601578;170.641806364376;170.641806364376;164.448172092437;3460
Exp 3;Transformer;SGD;21;95.8341101229209;163.916115081635;163.916115081635;164.430631399154;3624
Exp 3;Transformer;SGD;22;88.4789676987311;185.200159974097;163.916115081635;163.915439128875;3788
Exp 3;Transformer;SGD;23;83.5898469199775;168.378493868369;163.916115081635;163.6267952919;3952
Exp 3;Transformer;SGD;24;79.8976562605495;185.519815303878;163.916115081635;163.603007793426;4116
Exp 3;Transformer;SGD;25;74.8272874290128;169.321733151046;163.916115081635;163.819158792495;4280
Exp 3;Transformer;SGD;26;70.2100044280925;186.426072151605;163.916115081635;163.662041425704;4444
Exp 3;Transformer;SGD;27;67.2797755620232;178.716187465259;163.916115081635;163.733253240585;4608
Exp 3;Transformer;SGD;28;62.5381317975874;182.088821004552;163.916115081635;163.913587093353;4772
Exp 3;Transformer;SGD;29;59.6770921922576;199.008535612842;163.916115081635;163.954874277114;4936
Exp 3;Transformer;SGD;30;56.5751550839473;198.139330066725;163.916115081635;164.053427696228;5100
Exp 3;Transformer;SGD;31;52.4794761281871;203.486654932478;163.916115081635;164.187866687774;5264
Exp 3;Transformer;SGD;32;50.6438839419075;196.863977836997;163.916115081635;164.086310148239;5428
Exp 3;Transformer;SGD;33;46.8435574697466;234.529295315362;163.916115081635;163.914900302886;5592
Exp 3;Transformer;SGD;34;44.9559884521594;212.424989178029;163.916115081635;163.680924892425;5756
Exp 3;Transformer;SGD;35;42.4200001450787;236.779152236524;163.916115081635;164.038825511932;5920
Exp 3;Transformer;SGD;36;40.2353818720976;213.678707861232;163.916115081635;164.100395679473;6084
Exp 3;Transformer;SGD;37;38.2235100525429;277.602734646599;163.916115081635;164.117130279541;6248
Exp 3;Transformer;SGD;38;35.5857773378928;242.970623499014;163.916115081635;163.953612565994;6412
Exp 3;Transformer;SGD;39;33.8821405738861;245.0838835357;163.916115081635;164.069439649581;6576
Exp 4;Transformer;ADAM;0;533.972075264175;290.195840989522;290.195840989522;97.7152912616729;98
Exp 4;Transformer;ADAM;1;238.27399613138;203.54561526104;203.54561526104;98.0695300102233;196
Exp 4;Transformer;ADAM;2;173.035329182106;171.882837058678;171.882837058678;97.6524684429168;294
Exp 4;Transformer;ADAM;3;139.54838318874;154.857146878177;154.857146878177;97.910988330841;392
Exp 4;Transformer;ADAM;4;117.638388503276;143.90175561692;143.90175561692;104.234163761138;496
Exp 4;Transformer;ADAM;5;101.339710127842;135.799905978786;135.799905978786;97.8994677066803;594
