Epoch	Train PPL	Valid PPL	Best val	TPE	Wall-clock
0	899.157506081377	511.263249935762	511.263249935762	174.917832612991	175
1	417.587091048952	335.717306907132	335.717306907132	177.569201231002	353
2	309.603823680014	276.311289052074	276.311289052074	177.684690475463	531
3	258.140018486391	243.086675172138	243.086675172138	177.432527065277	708
4	225.273416658614	220.024157234144	220.024157234144	177.004636764526	885
5	202.367104796679	204.498967979482	204.498967979482	176.887769222259	1062
6	184.856221134408	192.387429830078	192.387429830078	177.045574188232	1239
7	170.852137268216	182.95184431504	182.95184431504	176.696964263916	1416
8	159.171713947363	175.091941736073	175.091941736073	177.035161495208	1593
9	149.280601365966	167.854275935441	167.854275935441	176.959037303924	1770
10	140.681905083962	162.145323140423	162.145323140423	177.06104850769	1947
11	132.756128883393	157.16326816649	157.16326816649	176.93881201744	2124
12	126.110182536153	152.883651200806	152.883651200806	177.111264944076	2301
13	119.819160014583	149.136235787308	149.136235787308	177.088867664337	2478
14	114.179651751412	145.178122712232	145.178122712232	176.811482191085	2655
15	109.035634244908	142.35676741978	142.35676741978	176.965428829193	2832
16	104.293246399127	139.865346102649	139.865346102649	176.895464658737	3009
17	100.145234498385	137.641337043847	137.641337043847	177.027265548706	3186
18	96.0777820439233	135.130253220973	135.130253220973	177.003497838974	3363
19	92.3985450128847	133.816681517738	133.816681517738	177.012640237808	3540
20	88.9495727036773	132.624639171435	132.624639171435	177.217861413955	3717
21	85.7671594455114	131.14766193795	131.14766193795	176.739230394363	3894
22	82.7330934235521	130.404630053683	130.404630053683	177.040028572082	4071
23	79.9825207115456	129.302081562609	129.302081562609	176.824535608291	4248
24	77.382313087768	128.643240822653	128.643240822653	177.040562152862	4425
25	74.8790071012727	128.05901341414	128.05901341414	176.823244333267	4602
26	72.5672610010485	127.523253513348	127.523253513348	176.953844547271	4779
27	70.3037121156689	126.844864222322	126.844864222322	176.958180904388	4956
28	68.1364150528959	126.498260563474	126.498260563474	176.570557594299	5133
29	66.1831041526596	126.552947849173	126.498260563474	176.290317296981	5309
30	64.2465353038234	126.432416819881	126.432416819881	176.827877998352	5486
31	62.4885638415867	126.299266293574	126.299266293574	176.963886499404	5663
32	60.7257343867647	126.075442186129	126.075442186129	176.985228061676	5840
33	59.0000482819108	126.274373575249	126.075442186129	176.269167900085	6016
34	57.3312407253045	126.737436619589	126.075442186129	176.568197250366	6193
35	55.8186084325218	126.947192062156	126.075442186129	176.287354707717	6369
36	54.3446595324504	127.353086235511	126.075442186129	176.514877080917	6546
37	52.9561397325102	127.602514532681	126.075442186129	175.95623421669	6722
38	51.4830194891582	128.452172556526	126.075442186129	176.477772712707	6898
39	50.2185476321487	128.829694098095	126.075442186129	176.274200201034	7074
