epoch: 0	train ppl: 533.9720752641754	val ppl: 290.19584098952254	best val: 290.19584098952254	time (s) spent in epoch: 97.71529126167297
epoch: 1	train ppl: 238.27399613138027	val ppl: 203.54561526104092	best val: 203.54561526104092	time (s) spent in epoch: 98.06953001022339
epoch: 2	train ppl: 173.03532918210618	val ppl: 171.88283705867818	best val: 171.88283705867818	time (s) spent in epoch: 97.65246844291687
epoch: 3	train ppl: 139.54838318874081	val ppl: 154.85714687817767	best val: 154.85714687817767	time (s) spent in epoch: 97.91098833084106
epoch: 4	train ppl: 117.63838850327676	val ppl: 143.90175561692047	best val: 143.90175561692047	time (s) spent in epoch: 104.23416376113892
epoch: 5	train ppl: 101.33971012784266	val ppl: 135.7999059787867	best val: 135.7999059787867	time (s) spent in epoch: 97.8994677066803
epoch: 6	train ppl: 88.5267952062291	val ppl: 130.8989185490514	best val: 130.8989185490514	time (s) spent in epoch: 97.64200735092163
epoch: 7	train ppl: 78.27032589038662	val ppl: 127.8087384934649	best val: 127.8087384934649	time (s) spent in epoch: 97.62114572525024
epoch: 8	train ppl: 69.68972033547976	val ppl: 125.67921951039914	best val: 125.67921951039914	time (s) spent in epoch: 97.6253228187561
epoch: 9	train ppl: 62.47120432295	val ppl: 124.26616076971344	best val: 124.26616076971344	time (s) spent in epoch: 97.94271159172058
epoch: 10	train ppl: 56.26777460309818	val ppl: 124.95322293437374	best val: 124.26616076971344	time (s) spent in epoch: 94.30469489097595
epoch: 11	train ppl: 50.89636443769206	val ppl: 125.789258966105	best val: 124.26616076971344	time (s) spent in epoch: 94.35576105117798
epoch: 12	train ppl: 46.15789183491894	val ppl: 128.9069434249784	best val: 124.26616076971344	time (s) spent in epoch: 98.18638896942139
epoch: 13	train ppl: 41.99347791451778	val ppl: 131.0421474145793	best val: 124.26616076971344	time (s) spent in epoch: 94.18504667282104
epoch: 14	train ppl: 38.20049670052936	val ppl: 134.55629946783438	best val: 124.26616076971344	time (s) spent in epoch: 98.40688395500183
epoch: 15	train ppl: 34.804399129466695	val ppl: 139.07399253029118	best val: 124.26616076971344	time (s) spent in epoch: 101.28135967254639
epoch: 16	train ppl: 31.783810924716914	val ppl: 144.17974965969643	best val: 124.26616076971344	time (s) spent in epoch: 94.48009443283081
epoch: 17	train ppl: 28.988414573519222	val ppl: 149.56228088660936	best val: 124.26616076971344	time (s) spent in epoch: 98.993887424469
epoch: 18	train ppl: 26.533108201112885	val ppl: 153.51107845800357	best val: 124.26616076971344	time (s) spent in epoch: 96.73651123046875
epoch: 19	train ppl: 24.255055968844207	val ppl: 161.52139523191124	best val: 124.26616076971344	time (s) spent in epoch: 94.36710786819458
epoch: 20	train ppl: 22.211808439076613	val ppl: 168.81311187282466	best val: 124.26616076971344	time (s) spent in epoch: 94.39910888671875
epoch: 21	train ppl: 20.3504279615984	val ppl: 177.18665849033314	best val: 124.26616076971344	time (s) spent in epoch: 98.89845943450928
epoch: 22	train ppl: 18.693136927945492	val ppl: 185.8145970085124	best val: 124.26616076971344	time (s) spent in epoch: 95.05046820640564
epoch: 23	train ppl: 17.129756350268114	val ppl: 194.89622273359473	best val: 124.26616076971344	time (s) spent in epoch: 94.43972659111023
epoch: 24	train ppl: 15.732761587590057	val ppl: 206.41871481323125	best val: 124.26616076971344	time (s) spent in epoch: 94.24058151245117
epoch: 25	train ppl: 14.506085568262154	val ppl: 216.25624826105104	best val: 124.26616076971344	time (s) spent in epoch: 94.54244899749756
epoch: 26	train ppl: 13.317240574451976	val ppl: 229.91840862890348	best val: 124.26616076971344	time (s) spent in epoch: 94.86727690696716
epoch: 27	train ppl: 12.26259270609299	val ppl: 244.34686665018862	best val: 124.26616076971344	time (s) spent in epoch: 94.27977800369263
epoch: 28	train ppl: 11.319274610710556	val ppl: 257.17890331165114	best val: 124.26616076971344	time (s) spent in epoch: 94.2508955001831
epoch: 29	train ppl: 10.445841253359186	val ppl: 273.6430398252413	best val: 124.26616076971344	time (s) spent in epoch: 94.30165815353394
epoch: 30	train ppl: 9.656286432713712	val ppl: 288.1934985974815	best val: 124.26616076971344	time (s) spent in epoch: 94.45610332489014
epoch: 31	train ppl: 8.920873379409555	val ppl: 306.55217236313877	best val: 124.26616076971344	time (s) spent in epoch: 94.64209961891174
epoch: 32	train ppl: 8.25787254484113	val ppl: 332.2537830270122	best val: 124.26616076971344	time (s) spent in epoch: 94.77883100509644
epoch: 33	train ppl: 7.66180208202362	val ppl: 356.2165052384896	best val: 124.26616076971344	time (s) spent in epoch: 94.81882381439209
epoch: 34	train ppl: 7.119161378828591	val ppl: 379.68189985274125	best val: 124.26616076971344	time (s) spent in epoch: 94.46256756782532
epoch: 35	train ppl: 6.639580168837906	val ppl: 410.08804313604196	best val: 124.26616076971344	time (s) spent in epoch: 95.86611461639404
epoch: 36	train ppl: 6.188532418248373	val ppl: 441.13871516829465	best val: 124.26616076971344	time (s) spent in epoch: 94.9743082523346
epoch: 37	train ppl: 5.797814254997221	val ppl: 475.02686215528564	best val: 124.26616076971344	time (s) spent in epoch: 95.93694233894348
epoch: 38	train ppl: 5.428564636083554	val ppl: 495.81127207200944	best val: 124.26616076971344	time (s) spent in epoch: 95.2808427810669
epoch: 39	train ppl: 5.081657372192318	val ppl: 534.0981038455619	best val: 124.26616076971344	time (s) spent in epoch: 96.81578946113586
