epoch: 0	train ppl: 536.042269724	val ppl: 338.859891706	best val: 338.859891706	time (s) spent in epoch: 362.5983200073242
epoch: 1	train ppl: 298.713931377	val ppl: 234.598523456	best val: 234.598523456	time (s) spent in epoch: 362.30196809768677
epoch: 2	train ppl: 241.302374259	val ppl: 196.401947297	best val: 196.401947297	time (s) spent in epoch: 362.28613090515137
epoch: 3	train ppl: 207.939046873	val ppl: 181.488932223	best val: 181.488932223	time (s) spent in epoch: 362.3024914264679
epoch: 4	train ppl: 184.879297504	val ppl: 160.131335931	best val: 160.131335931	time (s) spent in epoch: 362.2962999343872
epoch: 5	train ppl: 167.611184212	val ppl: 153.235416005	best val: 153.235416005	time (s) spent in epoch: 362.3171410560608
epoch: 6	train ppl: 154.029375012	val ppl: 144.52595781	best val: 144.52595781	time (s) spent in epoch: 362.26350808143616
epoch: 7	train ppl: 142.956438937	val ppl: 142.193372146	best val: 142.193372146	time (s) spent in epoch: 362.2578330039978
epoch: 8	train ppl: 133.482373857	val ppl: 134.214806632	best val: 134.214806632	time (s) spent in epoch: 362.2758586406708
epoch: 9	train ppl: 125.653624481	val ppl: 130.756457813	best val: 130.756457813	time (s) spent in epoch: 362.2880380153656
epoch: 10	train ppl: 118.845518334	val ppl: 129.082963662	best val: 129.082963662	time (s) spent in epoch: 362.3081133365631
epoch: 11	train ppl: 112.649091068	val ppl: 124.323945439	best val: 124.323945439	time (s) spent in epoch: 362.31888818740845
epoch: 12	train ppl: 107.114312855	val ppl: 125.604203194	best val: 124.323945439	time (s) spent in epoch: 362.2847247123718
epoch: 13	train ppl: 102.337096361	val ppl: 120.473053388	best val: 120.473053388	time (s) spent in epoch: 362.3047432899475
epoch: 14	train ppl: 97.9221669115	val ppl: 120.944083858	best val: 120.473053388	time (s) spent in epoch: 362.29264879226685
epoch: 15	train ppl: 93.7927193321	val ppl: 118.117501624	best val: 118.117501624	time (s) spent in epoch: 362.2521936893463
epoch: 16	train ppl: 90.016932549	val ppl: 117.790200073	best val: 117.790200073	time (s) spent in epoch: 362.258362531662
epoch: 17	train ppl: 86.8519898953	val ppl: 115.389520066	best val: 115.389520066	time (s) spent in epoch: 362.2661852836609
epoch: 18	train ppl: 83.4889195129	val ppl: 119.503862924	best val: 115.389520066	time (s) spent in epoch: 362.2646007537842
epoch: 19	train ppl: 80.7691415383	val ppl: 116.697766103	best val: 115.389520066	time (s) spent in epoch: 362.3023338317871
epoch: 20	train ppl: 78.0461650714	val ppl: 114.63138005	best val: 114.63138005	time (s) spent in epoch: 362.29694747924805
epoch: 21	train ppl: 75.5756514242	val ppl: 119.464588489	best val: 114.63138005	time (s) spent in epoch: 362.29567098617554
epoch: 22	train ppl: 73.2676618956	val ppl: 115.782876386	best val: 114.63138005	time (s) spent in epoch: 362.28346133232117
epoch: 23	train ppl: 71.0564307952	val ppl: 116.203083686	best val: 114.63138005	time (s) spent in epoch: 362.2322518825531
epoch: 24	train ppl: 69.1779021409	val ppl: 115.468810432	best val: 114.63138005	time (s) spent in epoch: 362.2683594226837
epoch: 25	train ppl: 67.2403877035	val ppl: 115.03111946	best val: 114.63138005	time (s) spent in epoch: 362.2778298854828
epoch: 26	train ppl: 65.4320749721	val ppl: 115.08113208	best val: 114.63138005	time (s) spent in epoch: 362.2722899913788
epoch: 27	train ppl: 63.8360640475	val ppl: 116.489349993	best val: 114.63138005	time (s) spent in epoch: 362.2733063697815
epoch: 28	train ppl: 62.4141310804	val ppl: 118.024986081	best val: 114.63138005	time (s) spent in epoch: 362.27661061286926
epoch: 29	train ppl: 60.9185739225	val ppl: 115.824766999	best val: 114.63138005	time (s) spent in epoch: 362.2661135196686
epoch: 30	train ppl: 59.6991437684	val ppl: 116.264940284	best val: 114.63138005	time (s) spent in epoch: 362.26120948791504
epoch: 31	train ppl: 58.3259918707	val ppl: 116.995276478	best val: 114.63138005	time (s) spent in epoch: 362.28854727745056
epoch: 32	train ppl: 56.9962178416	val ppl: 115.860584956	best val: 114.63138005	time (s) spent in epoch: 362.2944073677063
epoch: 33	train ppl: 55.9741711721	val ppl: 118.104125445	best val: 114.63138005	time (s) spent in epoch: 362.2918734550476
epoch: 34	train ppl: 54.9965937138	val ppl: 117.19638578	best val: 114.63138005	time (s) spent in epoch: 362.33264541625977
epoch: 35	train ppl: 53.9124210762	val ppl: 119.177531153	best val: 114.63138005	time (s) spent in epoch: 362.3124294281006
epoch: 36	train ppl: 53.0025751752	val ppl: 115.828878255	best val: 114.63138005	time (s) spent in epoch: 362.30397272109985
epoch: 37	train ppl: 52.0091997415	val ppl: 118.819812275	best val: 114.63138005	time (s) spent in epoch: 362.29882526397705
epoch: 38	train ppl: 51.1507286898	val ppl: 121.02435615	best val: 114.63138005	time (s) spent in epoch: 363.17067289352417
epoch: 39	train ppl: 50.3659194999	val ppl: 122.334280857	best val: 114.63138005	time (s) spent in epoch: 367.5607740879059
