epoch: 0	train ppl: 355.476247918	val ppl: 195.944431716	best val: 195.944431716	time (s) spent in epoch: 45.99346709251404
epoch: 1	train ppl: 144.278954221	val ppl: 151.969659986	best val: 151.969659986	time (s) spent in epoch: 46.01335597038269
epoch: 2	train ppl: 98.4378046057	val ppl: 139.909533021	best val: 139.909533021	time (s) spent in epoch: 46.048285722732544
epoch: 3	train ppl: 74.4896872292	val ppl: 138.400431995	best val: 138.400431995	time (s) spent in epoch: 46.043713092803955
epoch: 4	train ppl: 59.0757972277	val ppl: 142.533418434	best val: 138.400431995	time (s) spent in epoch: 46.03321099281311
epoch: 5	train ppl: 47.882310388	val ppl: 152.214207778	best val: 138.400431995	time (s) spent in epoch: 46.050145626068115
epoch: 6	train ppl: 39.2419991702	val ppl: 164.429553038	best val: 138.400431995	time (s) spent in epoch: 46.0500693321228
epoch: 7	train ppl: 32.7204249127	val ppl: 181.068475651	best val: 138.400431995	time (s) spent in epoch: 46.041706562042236
epoch: 8	train ppl: 27.6805457385	val ppl: 202.692997366	best val: 138.400431995	time (s) spent in epoch: 46.06581473350525
epoch: 9	train ppl: 23.6022509158	val ppl: 229.41731989	best val: 138.400431995	time (s) spent in epoch: 46.04285478591919
epoch: 10	train ppl: 20.4477484895	val ppl: 258.638724136	best val: 138.400431995	time (s) spent in epoch: 46.03277635574341
epoch: 11	train ppl: 17.8872352668	val ppl: 287.81548582	best val: 138.400431995	time (s) spent in epoch: 46.04407072067261
epoch: 12	train ppl: 15.8470701582	val ppl: 321.260797042	best val: 138.400431995	time (s) spent in epoch: 46.06149220466614
epoch: 13	train ppl: 14.2078529079	val ppl: 358.906791222	best val: 138.400431995	time (s) spent in epoch: 46.03741478919983
epoch: 14	train ppl: 12.8389324211	val ppl: 407.815260642	best val: 138.400431995	time (s) spent in epoch: 46.05415892601013
epoch: 15	train ppl: 11.7171774024	val ppl: 444.177853456	best val: 138.400431995	time (s) spent in epoch: 46.05265784263611
epoch: 16	train ppl: 10.7945850957	val ppl: 495.471813551	best val: 138.400431995	time (s) spent in epoch: 46.05083084106445
epoch: 17	train ppl: 9.96416212431	val ppl: 539.131809934	best val: 138.400431995	time (s) spent in epoch: 46.030494928359985
epoch: 18	train ppl: 9.28097901763	val ppl: 596.544429848	best val: 138.400431995	time (s) spent in epoch: 46.039281606674194
epoch: 19	train ppl: 8.68955517422	val ppl: 661.645356878	best val: 138.400431995	time (s) spent in epoch: 46.025848150253296
epoch: 20	train ppl: 8.17376895035	val ppl: 728.073979156	best val: 138.400431995	time (s) spent in epoch: 46.02802324295044
epoch: 21	train ppl: 7.72585297047	val ppl: 779.676903757	best val: 138.400431995	time (s) spent in epoch: 46.03424859046936
epoch: 22	train ppl: 7.31914920857	val ppl: 872.288944211	best val: 138.400431995	time (s) spent in epoch: 46.04738092422485
epoch: 23	train ppl: 6.98049539372	val ppl: 938.761811785	best val: 138.400431995	time (s) spent in epoch: 46.02515149116516
epoch: 24	train ppl: 6.65199417652	val ppl: 1023.69705529	best val: 138.400431995	time (s) spent in epoch: 46.042545318603516
epoch: 25	train ppl: 6.38046230041	val ppl: 1096.38584732	best val: 138.400431995	time (s) spent in epoch: 46.03355622291565
epoch: 26	train ppl: 6.13984840937	val ppl: 1183.23259457	best val: 138.400431995	time (s) spent in epoch: 46.04876446723938
epoch: 27	train ppl: 5.90334876073	val ppl: 1239.19117595	best val: 138.400431995	time (s) spent in epoch: 46.02843451499939
epoch: 28	train ppl: 5.70019782469	val ppl: 1297.5656309	best val: 138.400431995	time (s) spent in epoch: 46.05894088745117
epoch: 29	train ppl: 5.50569346959	val ppl: 1413.02270964	best val: 138.400431995	time (s) spent in epoch: 46.104156732559204
epoch: 30	train ppl: 5.33495663508	val ppl: 1481.05894142	best val: 138.400431995	time (s) spent in epoch: 46.221922397613525
epoch: 31	train ppl: 5.18685575095	val ppl: 1558.15170868	best val: 138.400431995	time (s) spent in epoch: 45.907949686050415
epoch: 32	train ppl: 5.03086255033	val ppl: 1621.20724083	best val: 138.400431995	time (s) spent in epoch: 45.921221017837524
epoch: 33	train ppl: 4.88606747904	val ppl: 1716.86542413	best val: 138.400431995	time (s) spent in epoch: 45.94731307029724
epoch: 34	train ppl: 4.77021926923	val ppl: 1771.50126351	best val: 138.400431995	time (s) spent in epoch: 46.197922229766846
epoch: 35	train ppl: 4.65170863557	val ppl: 1903.97418106	best val: 138.400431995	time (s) spent in epoch: 46.00284171104431
epoch: 36	train ppl: 4.53546485519	val ppl: 2024.04619729	best val: 138.400431995	time (s) spent in epoch: 45.98562264442444
epoch: 37	train ppl: 4.4431579491	val ppl: 2161.32753871	best val: 138.400431995	time (s) spent in epoch: 46.037954807281494
epoch: 38	train ppl: 4.33321728487	val ppl: 2209.16381368	best val: 138.400431995	time (s) spent in epoch: 46.03425407409668
epoch: 39	train ppl: 4.25054864958	val ppl: 2362.62963706	best val: 138.400431995	time (s) spent in epoch: 46.029767990112305
