epoch: 0	train ppl: 67407.86207684799	val ppl: 6784.414563212619	best val: 6784.414563212619	time (s) spent in epoch: 165.25387239456177
epoch: 1	train ppl: 2664.1931725830564	val ppl: 1152.8144357283518	best val: 1152.8144357283518	time (s) spent in epoch: 165.124653339386
epoch: 2	train ppl: 1086.744421253115	val ppl: 755.7965843342009	best val: 755.7965843342009	time (s) spent in epoch: 164.7693474292755
epoch: 3	train ppl: 760.2640069830643	val ppl: 526.908935506731	best val: 526.908935506731	time (s) spent in epoch: 165.15165185928345
epoch: 4	train ppl: 586.1141344966778	val ppl: 496.1008987662597	best val: 496.1008987662597	time (s) spent in epoch: 165.1185028553009
epoch: 5	train ppl: 457.70315630213423	val ppl: 472.3703427155964	best val: 472.3703427155964	time (s) spent in epoch: 165.31130170822144
epoch: 6	train ppl: 379.9012521909129	val ppl: 337.35323077384186	best val: 337.35323077384186	time (s) spent in epoch: 165.23521828651428
epoch: 7	train ppl: 323.4591372655034	val ppl: 307.67646376394555	best val: 307.67646376394555	time (s) spent in epoch: 165.0533902645111
epoch: 8	train ppl: 281.67497126915225	val ppl: 279.29181399714173	best val: 279.29181399714173	time (s) spent in epoch: 164.96955943107605
epoch: 9	train ppl: 248.09693699859028	val ppl: 239.87737163338312	best val: 239.87737163338312	time (s) spent in epoch: 164.9692623615265
epoch: 10	train ppl: 222.99581567367468	val ppl: 259.0647276748298	best val: 239.87737163338312	time (s) spent in epoch: 164.231543302536
epoch: 11	train ppl: 198.30565211534324	val ppl: 224.44649964946055	best val: 224.44649964946055	time (s) spent in epoch: 164.6495599746704
epoch: 12	train ppl: 185.8617414977649	val ppl: 224.21383549761575	best val: 224.21383549761575	time (s) spent in epoch: 164.69881916046143
epoch: 13	train ppl: 165.50897158911215	val ppl: 221.1981966062622	best val: 221.1981966062622	time (s) spent in epoch: 164.58228087425232
epoch: 14	train ppl: 152.51967670457603	val ppl: 203.90490141324622	best val: 203.90490141324622	time (s) spent in epoch: 164.74951195716858
epoch: 15	train ppl: 142.07165700586356	val ppl: 202.16198376054527	best val: 202.16198376054527	time (s) spent in epoch: 164.42438673973083
epoch: 16	train ppl: 131.07599777035637	val ppl: 191.5553408062463	best val: 191.5553408062463	time (s) spent in epoch: 164.77069926261902
epoch: 17	train ppl: 121.8340163665652	val ppl: 178.01027159806972	best val: 178.01027159806972	time (s) spent in epoch: 164.50876545906067
epoch: 18	train ppl: 113.62449765461034	val ppl: 185.11705653805922	best val: 178.01027159806972	time (s) spent in epoch: 163.79248785972595
epoch: 19	train ppl: 106.90922763208424	val ppl: 198.57440412346006	best val: 178.01027159806972	time (s) spent in epoch: 163.7242248058319
epoch: 20	train ppl: 99.39487316015787	val ppl: 170.6418063643764	best val: 170.6418063643764	time (s) spent in epoch: 164.44817209243774
epoch: 21	train ppl: 95.83411012292099	val ppl: 163.91611508163595	best val: 163.91611508163595	time (s) spent in epoch: 164.43063139915466
epoch: 22	train ppl: 88.4789676987311	val ppl: 185.20015997409791	best val: 163.91611508163595	time (s) spent in epoch: 163.91543912887573
epoch: 23	train ppl: 83.58984691997755	val ppl: 168.3784938683697	best val: 163.91611508163595	time (s) spent in epoch: 163.62679529190063
epoch: 24	train ppl: 79.89765626054952	val ppl: 185.5198153038785	best val: 163.91611508163595	time (s) spent in epoch: 163.6030077934265
epoch: 25	train ppl: 74.82728742901284	val ppl: 169.32173315104671	best val: 163.91611508163595	time (s) spent in epoch: 163.81915879249573
epoch: 26	train ppl: 70.21000442809257	val ppl: 186.42607215160524	best val: 163.91611508163595	time (s) spent in epoch: 163.66204142570496
epoch: 27	train ppl: 67.27977556202323	val ppl: 178.71618746525968	best val: 163.91611508163595	time (s) spent in epoch: 163.73325324058533
epoch: 28	train ppl: 62.538131797587454	val ppl: 182.0888210045527	best val: 163.91611508163595	time (s) spent in epoch: 163.91358709335327
epoch: 29	train ppl: 59.677092192257604	val ppl: 199.00853561284268	best val: 163.91611508163595	time (s) spent in epoch: 163.95487427711487
epoch: 30	train ppl: 56.5751550839473	val ppl: 198.13933006672562	best val: 163.91611508163595	time (s) spent in epoch: 164.05342769622803
epoch: 31	train ppl: 52.479476128187194	val ppl: 203.4866549324787	best val: 163.91611508163595	time (s) spent in epoch: 164.18786668777466
epoch: 32	train ppl: 50.643883941907575	val ppl: 196.86397783699724	best val: 163.91611508163595	time (s) spent in epoch: 164.08631014823914
epoch: 33	train ppl: 46.843557469746635	val ppl: 234.5292953153625	best val: 163.91611508163595	time (s) spent in epoch: 163.91490030288696
epoch: 34	train ppl: 44.955988452159495	val ppl: 212.42498917802928	best val: 163.91611508163595	time (s) spent in epoch: 163.68092489242554
epoch: 35	train ppl: 42.420000145078745	val ppl: 236.77915223652428	best val: 163.91611508163595	time (s) spent in epoch: 164.03882551193237
epoch: 36	train ppl: 40.235381872097655	val ppl: 213.67870786123203	best val: 163.91611508163595	time (s) spent in epoch: 164.10039567947388
epoch: 37	train ppl: 38.223510052542935	val ppl: 277.60273464659934	best val: 163.91611508163595	time (s) spent in epoch: 164.11713027954102
epoch: 38	train ppl: 35.58577733789285	val ppl: 242.97062349901483	best val: 163.91611508163595	time (s) spent in epoch: 163.95361256599426
epoch: 39	train ppl: 33.88214057388617	val ppl: 245.08388353570066	best val: 163.91611508163595	time (s) spent in epoch: 164.0694396495819
